City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,Pierre,44.3683,-100.351,88.86,47,0,13.8,US,2022-08-02 02:45:05
238,Kitimat,54.0524,-128.6534,71.98,60,95,1.01,CA,2022-08-02 02:49:55
239,Kisanga,-7.4362,37.7034,66.15,92,1,2.13,TZ,2022-08-02 02:49:55
240,Ust-Maya,60.4167,134.5333,62.6,92,100,8.68,RU,2022-08-02 02:49:56
241,Geraldton,-28.7667,114.6,64.81,55,75,17.27,AU,2022-08-02 02:49:56
242,Eupen,50.6295,6.0382,61.77,92,100,4.56,BE,2022-08-02 02:49:56
243,Leningradskiy,69.3833,178.4167,58.03,51,41,1.59,RU,2022-08-02 02:49:57
244,Ciudad Barrios,13.7667,-88.2667,69.42,68,37,3.74,SV,2022-08-02 02:49:57
245,Bethel,41.3712,-73.414,70.65,94,0,3.44,US,2022-08-02 02:49:58
246,Pacific Grove,36.6177,-121.9166,73.45,78,0,4.61,US,2022-08-02 02:49:58
247,Ketchikan,55.3422,-131.6461,68.47,60,40,4.61,US,2022-08-02 02:47:03
248,Teocuitatlan De Corona,20.1167,-103.4,66.61,86,72,3.76,MX,2022-08-02 02:49:59
249,Wuchang,44.9143,127.15,84.83,72,79,3.87,CN,2022-08-02 02:49:59
250,Korla,41.7597,86.1469,79.92,37,96,12.39,CN,2022-08-02 02:49:59
251,Santa Cruz,-17.8,-63.1667,72.86,78,20,6.91,BO,2022-08-02 02:50:00
252,Matay,28.419,30.7792,78.26,54,1,7.94,EG,2022-08-02 02:50:00
253,Nelson Bay,-32.7167,152.15,66.0,48,0,3.0,AU,2022-08-02 02:50:01
254,Narsaq,60.9167,-46.05,45.61,71,100,2.55,GL,2022-08-02 02:50:01
255,Verkhnyaya Inta,65.9811,60.3094,66.06,48,23,3.49,RU,2022-08-02 02:50:02
256,Kismayo,-0.3582,42.5454,74.91,82,5,15.99,SO,2022-08-02 02:50:02
257,Skibbereen,51.55,-9.2667,63.1,98,100,17.85,IE,2022-08-02 02:50:03
258,Beloha,-25.1667,45.05,63.66,71,86,9.62,MG,2022-08-02 02:50:03
259,Bolshevik,54.0065,27.5692,62.22,97,100,5.75,BY,2022-08-02 02:50:04
260,Shingu,33.7333,135.9833,91.62,55,100,4.94,JP,2022-08-02 02:50:04
261,Chazuta,-6.5742,-76.1367,79.65,85,73,0.65,PE,2022-08-02 02:50:05
262,Houston,29.7633,-95.3633,88.38,72,40,14.97,US,2022-08-02 02:47:22
263,Dombarovskiy,50.7587,59.5386,68.29,64,85,4.32,RU,2022-08-02 02:50:05
264,Lagoa,39.05,-27.9833,73.36,77,60,12.26,PT,2022-08-02 02:50:06
265,Praia,14.9215,-23.5087,73.94,83,20,3.44,CV,2022-08-02 02:50:06
266,Troy,42.6056,-83.1499,78.73,72,0,4.61,US,2022-08-02 02:47:42
267,Altay,47.8667,88.1167,77.43,31,44,6.49,CN,2022-08-02 02:50:07
268,Tsuyama,35.05,134.0,92.23,51,100,4.83,JP,2022-08-02 02:50:08
269,Nouadhibou,20.931,-17.0347,73.38,88,75,9.22,MR,2022-08-02 02:50:08
270,Awbari,26.5921,12.7805,81.09,22,0,4.81,LY,2022-08-02 02:50:08
271,Aguachica,8.3084,-73.6166,75.69,91,99,3.02,CO,2022-08-02 02:50:09
272,Gondar,12.6,37.4667,55.06,90,100,1.05,ET,2022-08-02 02:50:10
273,Phan Thiet,10.9333,108.1,87.37,65,94,7.92,VN,2022-08-02 02:48:55
274,Dingle,10.9995,122.6711,85.46,71,97,4.47,PH,2022-08-02 02:51:10
275,Indramayu,-6.3264,108.32,83.97,62,81,8.1,ID,2022-08-02 02:51:10
276,Lavrentiya,65.5833,-171.0,51.93,70,68,7.09,RU,2022-08-02 02:51:11
277,Kaitangata,-46.2817,169.8464,55.54,56,22,11.18,NZ,2022-08-02 02:51:11
278,Hambantota,6.1241,81.1185,79.14,89,75,8.05,LK,2022-08-02 02:51:12
279,Faya,18.3851,42.4509,59.11,71,100,4.97,SA,2022-08-02 02:51:12
280,Awjilah,29.1081,21.2869,77.31,68,0,8.37,LY,2022-08-02 02:51:12
281,Hede,33.7681,120.2517,92.14,60,0,2.13,CN,2022-08-02 02:51:13
282,Katsuura,35.1333,140.3,87.22,72,100,14.85,JP,2022-08-02 02:51:13
283,Porto Santo,33.072,-16.3415,70.18,78,40,10.36,PT,2022-08-02 02:51:14
284,Chuka,-0.3332,37.6459,59.09,86,91,2.73,KE,2022-08-02 02:51:14
285,Kasongo-Lunda,-6.4667,16.8167,66.92,61,19,2.8,CD,2022-08-02 02:51:15
286,Villa Maria,-32.4075,-63.2402,51.82,75,100,7.96,AR,2022-08-02 02:51:15
287,Daru,-9.0763,143.2092,81.3,82,91,12.97,PG,2022-08-02 02:51:15
288,Bayeux,-7.125,-34.9322,75.83,83,75,5.75,BR,2022-08-02 02:51:16
289,Pouembout,-21.1333,164.9,80.19,68,93,4.45,NC,2022-08-02 02:51:16
290,Poykovskiy,61.2333,73.3333,59.29,62,0,8.95,RU,2022-08-02 02:51:17
291,Voh,-20.9667,164.7,81.61,64,87,3.36,NC,2022-08-02 02:51:17
292,Cairns,-16.9167,145.7667,86.07,67,100,14.97,AU,2022-08-02 02:49:46
293,Vestmanna,62.1564,-7.1664,49.12,87,100,8.05,FO,2022-08-02 02:51:18
