City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Moncton,CA,75.33,broken clouds,46.1159,-64.8019,"Crowne Plaza Moncton Downtown, an IHG Hotel"
422,Miranda,CO,80.73,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
423,Tautira,PF,76.71,light rain,-17.7333,-149.15,Pension Oaoa
425,Moerai,PF,72.45,overcast clouds,-22.4333,-151.3333,Le Manotel
427,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
428,Ludwigslust,DE,73.81,overcast clouds,53.3167,11.5,"Hotel & Restaurant ""Prinzenstube"" Hotel Erbprinz Ludwigslust"
430,Monteagudo,BO,82.17,clear sky,-19.8167,-63.9833,"Residencial ""OLIVIA"""
431,Sochi,RU,73.49,few clouds,43.6,39.7303,Bounty Hotel
433,Jardim,BR,85.8,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
440,Kieta,PG,80.06,light rain,-6.2167,155.6333,Uruna Bay Retreat
441,Jeremie,HT,85.82,clear sky,18.65,-74.1167,Auberge’Inn
444,Chiang Kham,TH,71.96,broken clouds,19.5233,100.3,Rico Resort
446,Jatibonico,CU,90.16,few clouds,21.9419,-79.17,"Hostel ""Los Tomasos"""
447,Chitral,PK,71.74,overcast clouds,35.8462,71.7858,PTDC Motel Chitral
449,Pocatello,US,88.23,overcast clouds,42.8713,-112.4455,TownePlace Suites by Marriott Pocatello
450,Coruripe,BR,73.02,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
451,Ardesen,TR,76.86,scattered clouds,41.1911,40.9875,Green Suada Hotel
452,Itarema,BR,78.69,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
454,Catacocha,EC,75.49,light rain,-4.0667,-79.6333,Hacienda La Aurora
461,Labuhan,ID,75.79,scattered clouds,-6.8844,112.2051,DoubleFAG
462,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
463,Pemba,MZ,74.1,broken clouds,-12.974,40.5178,Guesthouse Samotina
464,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
466,Ellensburg,US,92.95,clear sky,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
467,Rio Verde De Mato Grosso,BR,87.15,scattered clouds,-18.9181,-54.8442,Quedas Palace Hotel
468,Guilin,CN,77.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
470,Giron,CO,83.77,broken clouds,7.0682,-73.1698,Girón Chill Out Hotel Boutique
472,Faanui,PF,78.48,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
474,Shenzhen,CN,85.21,overcast clouds,22.5455,114.0683,Grand Skylight
477,Biak,ID,74.57,overcast clouds,-0.9131,122.8766,Penginapan Kim
478,Surt,LY,81.61,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
479,Parintins,BR,83.84,heavy intensity rain,-2.6283,-56.7358,Cama e Cafe
481,Cody,US,88.0,overcast clouds,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
483,Itoman,JP,82.42,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
486,Catio,GW,77.05,light rain,11.2833,-15.25,Pausada Morabedja
487,Nakhon Phanom,TH,73.94,scattered clouds,17.3333,104.4167,ป่ายางรีสอร์ท
488,Fort Nelson,CA,71.19,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
490,Angoche,MZ,72.28,few clouds,-16.2325,39.9086,Guest House HESADA
494,Menziken,CH,72.28,overcast clouds,47.25,8.1833,Seehotel Hallwil
498,Lar,IN,82.27,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
500,Siquijor,PH,82.13,broken clouds,9.2142,123.515,Cecilia's Guesthouse
502,Wajima,JP,80.47,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
505,Yokadouma,CM,70.83,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
507,Sao Felix Do Xingu,BR,82.47,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
508,San Rafael Del Sur,NI,79.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
509,Auki,SB,79.86,few clouds,-8.7676,160.7034,Auki Motel
511,Nova Russas,BR,84.54,broken clouds,-4.7067,-40.5631,palace motel
514,Prabumulih,ID,73.33,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
515,Chazuta,PE,92.25,broken clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
516,Kloulklubed,PW,83.91,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
518,Bayir,TR,72.12,clear sky,37.2687,28.2167,Hotel Babadag
520,Dakar,SN,84.33,scattered clouds,14.6937,-17.4441,Novotel Dakar
523,Itacare,BR,72.12,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
526,Suez,EG,80.38,clear sky,29.9737,32.5263,Green House
527,Scarborough,GB,72.97,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
530,Liverpool,GB,70.61,few clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
533,Hede,CN,78.1,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
537,Nobres,BR,92.25,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
