City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Yantal,RU,56.8471,105.2542,58.21,98,100,10.76,moderate rain
253,Divnogorsk,RU,55.9594,92.3619,54.09,89,10,2.77,clear sky
254,Cananeia,BR,-25.0147,-47.9267,65.46,92,7,4.03,clear sky
255,Mondovi,IT,44.396,7.8176,76.32,78,78,2.82,broken clouds
256,Jalu,LY,29.0331,21.5482,83.07,46,0,17.76,clear sky
257,Avarua,CK,-21.2078,-159.775,77.05,50,75,12.66,broken clouds
258,Rostusa,MK,41.61,20.6,63.21,60,33,5.14,scattered clouds
259,Shingu,JP,33.7333,135.9833,78.13,82,100,5.93,overcast clouds
260,Necochea,AR,-38.5473,-58.7368,55.35,75,100,4.81,overcast clouds
261,Atasu,KZ,48.6814,71.6433,67.53,62,95,9.17,overcast clouds
262,Souillac,MU,-20.5167,57.5167,70.18,68,40,4.61,scattered clouds
263,Kaka,TM,37.3482,59.6143,82.87,29,0,3.87,clear sky
264,Pereleshino,RU,51.7376,40.1388,67.73,75,99,3.74,moderate rain
265,Amahai,ID,-3.3333,128.9167,75.78,88,87,3.94,overcast clouds
266,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,74,74,2.24,broken clouds
267,Voskresenskoye,RU,56.8381,45.4317,59.63,80,99,2.13,overcast clouds
268,Harper,LR,4.375,-7.7169,75.6,71,100,8.39,overcast clouds
269,Port Hardy,CA,50.6996,-127.4199,64.58,77,75,10.36,broken clouds
270,Campoverde,PE,-8.4753,-74.8058,87.49,84,99,3.06,overcast clouds
271,Tessalit,ML,20.1986,1.0114,77.59,60,100,29.1,light rain
272,Yulara,AU,-25.2406,130.9889,58.82,54,5,8.75,clear sky
273,Ciudad Bolivar,VE,8.1222,-63.5497,84.38,68,93,10.4,overcast clouds
274,San Gavino Monreale,IT,39.5514,8.7917,83.48,64,8,3.94,clear sky
275,Morondava,MG,-20.2833,44.2833,70.84,69,0,9.08,clear sky
276,Burnsville,US,44.7677,-93.2777,96.49,52,40,21.85,scattered clouds
277,Hasaki,JP,35.7333,140.8333,79.29,92,81,8.61,broken clouds
278,Pierre,US,44.3683,-100.351,110.23,8,96,6.6,overcast clouds
279,Tyumentsevo,RU,53.3224,81.498,55.44,72,2,6.76,clear sky
280,Marsa Matruh,EG,31.3525,27.2453,80.8,78,0,5.75,clear sky
281,Jaffrey,US,42.814,-72.0231,87.22,60,77,1.99,broken clouds
282,Tilichiki,RU,60.4667,166.1,55.11,79,73,0.47,broken clouds
283,San Juan,AR,-31.5375,-68.5364,63.39,33,0,15.9,clear sky
284,La Peca,PE,-5.6111,-78.435,82.54,53,39,6.11,light rain
285,Abu Kamal,SY,34.4506,40.9171,95.23,21,0,7.36,clear sky
286,Rocha,UY,-34.4833,-54.3333,55.98,96,54,6.49,broken clouds
287,Korla,CN,41.7597,86.1469,73.9,47,1,0.11,clear sky
288,Nola,IT,40.922,14.5329,85.39,44,92,4.79,overcast clouds
289,Tasiilaq,GL,65.6145,-37.6368,40.5,60,13,4.23,few clouds
290,Juneau,US,58.3019,-134.4197,57.22,99,100,2.04,moderate rain
291,Barcelona,ES,41.3888,2.159,86.61,66,20,6.91,few clouds
292,Sola,VU,-13.8833,167.55,81.3,77,7,15.05,clear sky
293,Ovalle,CL,-30.5983,-71.2003,63.48,56,0,4.16,clear sky
294,Fenoarivo,MG,-18.933,47.4354,53.67,94,20,4.61,few clouds
295,Passo De Camaragibe,BR,-9.2368,-35.4901,74.75,97,100,6.93,overcast clouds
296,Vanavara,RU,60.34,102.2797,58.15,97,100,6.67,light rain
297,Tigil,RU,57.8,158.6667,55.54,86,100,9.82,overcast clouds
298,Kaohsiung,TW,22.6163,120.3133,84.15,80,40,9.22,scattered clouds
299,Katsuura,JP,35.1333,140.3,80.67,92,88,11.25,overcast clouds
300,Fare,PF,-16.7,-151.0167,78.4,64,5,22.3,clear sky
301,Sao Borja,BR,-28.6606,-56.0044,64.94,84,95,6.51,overcast clouds
302,Naze,JP,28.3667,129.4833,79.72,86,62,7.92,broken clouds
303,Guerrero Negro,MX,27.9769,-114.0611,80.96,52,100,18.9,overcast clouds
304,Flinders,AU,-34.5833,150.8552,55.38,70,96,5.01,overcast clouds
305,Manggar,ID,-2.8833,108.2667,80.1,83,100,6.26,overcast clouds
306,Saskylakh,RU,71.9167,114.0833,43.11,80,100,8.08,overcast clouds
307,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,40,10.36,scattered clouds
308,Nador,MA,35.174,-2.9287,80.67,75,0,4.43,clear sky
309,Fallon,US,39.4735,-118.7774,95.92,23,9,1.63,clear sky
310,Zhigansk,RU,66.7697,123.3711,46.36,67,80,16.98,broken clouds
311,Atlautla,MX,19.0167,-98.7833,68.85,72,93,3.85,overcast clouds
312,Karpogory,RU,64.0019,44.4451,62.47,72,100,8.79,overcast clouds
313,De-Kastri,RU,51.4667,140.7833,59.43,99,100,5.95,overcast clouds
314,Dawei,MM,14.0833,98.2,76.05,95,100,3.83,overcast clouds
315,Cacu,BR,-18.5567,-51.1308,83.25,24,0,6.51,clear sky
316,Yumen,CN,40.2833,97.2,69.96,55,22,5.7,few clouds
317,Atbasar,KZ,51.8,68.3333,58.87,74,41,10.04,scattered clouds
318,Megion,RU,61.0296,76.1136,51.82,77,28,7.63,scattered clouds
319,Pouembout,NC,-21.1333,164.9,73.42,87,99,3.0,overcast clouds
320,Upington,ZA,-28.4478,21.2561,53.98,94,32,3.44,scattered clouds
321,Jiuquan,CN,39.7432,98.5174,68.63,63,12,3.31,few clouds
322,San Cristobal,VE,7.7669,-72.225,78.98,62,84,5.28,broken clouds
323,La Rioja,ES,42.25,-2.5,78.58,30,63,4.85,broken clouds
324,Sindgi,IN,16.9167,76.2333,78.69,76,98,4.38,moderate rain
325,Rosignano Marittimo,IT,43.4079,10.4729,81.54,59,2,4.25,clear sky
326,Pontes E Lacerda,BR,-15.2261,-59.3353,94.08,22,66,3.15,broken clouds
327,Bathsheba,BB,13.2167,-59.5167,86.61,82,40,23.02,scattered clouds
328,Changchun,CN,43.88,125.3228,75.16,92,56,3.04,broken clouds
329,Sinnamary,GF,5.3833,-52.95,80.71,84,87,9.93,overcast clouds
